Id,Speed,RPM,Engine Load,gear_labels
136561,45,1458,37,3rd gear
136560,45,1472,37,3rd gear
143856,45,1472,37,3rd gear
136559,48,1552,0,3rd gear
143855,48,1552,0,3rd gear
136590,48,1542,0,3rd gear
136589,48,1561,35,3rd gear
136588,49,1589,23,3rd gear
136587,48,1521,23,3rd gear
136586,45,1408,16,3rd gear
136622,44,0,14,reverse gear
136621,48,64,50,reverse gear
136620,50,1648,46,3rd gear
136619,50,1712,53,4th gear
136618,53,1654,2,3rd gear
136646,44,1406,0,3rd gear
136645,44,1412,21,3rd gear
136644,44,1437,43,3rd gear
136643,39,1498,0,3rd gear
136642,37,1653,25,3rd gear
136692,39,1791,63,4th gear
136691,47,2105,48,5th gear
136690,45,2042,0,5th gear
136689,45,2069,57,5th gear
136688,50,2237,3,5th gear
136731,46,1502,0,3rd gear
136730,44,1447,15,3rd gear
136729,47,1522,52,3rd gear
136728,49,1571,4,3rd gear
136727,46,1492,32,3rd gear
136756,46,1438,8,3rd gear
136755,40,1277,0,2nd gear
136754,37,1709,56,4th gear
136753,42,1908,41,4th gear
136752,42,1883,4,4th gear
143854,31,1399,12,2nd gear
136802,31,1399,12,2nd gear
143853,32,1434,12,3rd gear
136801,32,1434,12,3rd gear
143940,34,1544,20,3rd gear
136800,34,1544,20,3rd gear
136799,31,1422,9,3rd gear
143939,31,1422,9,3rd gear
136798,30,1375,30,2nd gear
143938,30,1375,30,2nd gear
143937,35,1575,49,3rd gear
136808,35,1575,49,3rd gear
136807,37,1660,52,3rd gear
143936,37,1660,52,3rd gear
136806,35,1596,3,3rd gear
144017,35,1596,3,3rd gear
136805,33,1475,9,3rd gear
144016,33,1475,9,3rd gear
144015,22,864,0,1st gear
136804,22,864,0,1st gear
144014,11,904,23,1st gear
